,high_price,eth_past_average10
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,0.31265706829999995
11,0,0.3484955298
12,0,0.41307004550000004
13,0,0.4377238917
14,0,0.5389410634
15,0,0.5940603046
16,0,0.6090234625
17,0,0.6321074960999999
18,0,0.6871391166
19,0,0.6359042681
20,0,0.6499953497
21,0,0.6821131382000001
22,0,0.6304152459
23,0,0.6559152458999999
24,0,0.6091425186
25,0,0.6860010552
26,0,0.6868677219
27,0,0.7004749324999999
28,0,0.6668428979000001
29,0,0.6459706035
30,0,0.6337579338
31,0,0.5818516838
32,0,0.5829659695
33,0,0.6259659694999999
34,0,0.5893659695
35,0,0.46266596950000005
36,0,0.4570993028
37,0,0.46305091570000007
38,0,0.4598306776
39,0,0.46552115380000003
40,0,0.45467500000000005
41,0,0.6631750000000001
42,0,0.7274416667000001
43,0,0.6409416667000001
44,0,0.8162083334
45,0,0.8167083333999999
46,0,0.8453083334
47,0,0.8138083333999999
48,0,0.7974333334
49,0,0.7718083333999999
50,0,0.7676318628000001
51,0,0.5663461485
52,0,0.5253461484999999
53,0,0.5273461485
54,0,0.35567948180000003
55,0,0.35267948179999997
56,0,0.3150794818
57,0,0.32507948179999996
58,0,0.34957948180000004
59,0,0.35345448179999994
60,0,0.3676309524
61,False,0.35341666669999994
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,
68,0,
69,0,
70,False,
71,0,
72,False,
73,0,
74,0,
75,0,
76,0,
77,0,
78,0,
79,0,
80,0,
81,0,
82,0,
83,0,0.26683333330000003
84,0,0.26883333330000003
85,0,0.2673333333
86,False,0.2598333333
87,False,
88,0,
89,0,
90,0,
91,0,
92,0,
93,False,
94,False,
95,0,
96,False,
97,0,
98,0,
99,0,
100,0,
101,0,
102,0,
103,0,
104,0,
105,0,
106,0,
107,0,0.20491666670000003
108,0,0.20091666670000002
109,0,0.20691666669999997
110,0,0.1979166667
111,0,0.19491666670000002
112,0,0.1786666667
113,0,0.1666666667
114,0,0.17266666670000003
115,0,0.1578333334
116,0,0.1583333334
117,0,0.13933333339999998
118,0,0.1230000001
119,0,0.19800000010000002
120,0,0.20800000010000003
121,0,0.22700000010000002
122,0,0.22700000010000002
123,0,0.2400000001
124,0,0.23683333339999998
125,0,0.2346666667
126,False,0.23516666670000003
127,0,
128,0,
129,0,
130,0,
131,0,
132,0,
133,0,
134,0,
135,0,
136,0,
137,0,0.1445555556
138,0,0.1466666667
139,0,0.1425714286
140,0,0.14445378150000002
141,0,0.1269537815
142,0,0.1254775911
143,0,0.1238109244
144,0,0.1388109244
145,0,0.1411442577
146,0,0.14454425769999998
147,0,0.1480998133
148,0,0.1661907224
149,0,0.1848859605
150,0,0.1889036076
151,0,0.1921536076
152,0,0.1937964647
153,0,0.1975464647
154,0,0.1799101011
155,0,0.1749101011
156,0,0.17336724399999998
157,0,0.1762116884
158,0,0.15612077929999998
159,0,0.1405207793
160,0,0.24228744600000002
161,0,0.23587077930000003
162,0,0.23587077930000003
163,0,0.22862077930000005
164,0,0.22625714289999999
165,0,0.30855714289999997
166,0,0.30710000000000004
167,0,0.3017
168,0,0.3032
169,0,0.2942
170,0,0.1915333333
171,0,0.19920000000000002
172,0,0.43710000000000004
173,0,0.450975
174,0,0.44922500000000004
175,0,0.370425
176,0,0.39331666670000004
177,0,0.4525666667
178,0,0.4554303031
179,0,0.5067636364
180,0,0.5072636364
181,0,0.5051207793
182,0,0.26812077930000006
183,0,0.2852457793
184,0,0.30299577930000005
185,0,0.29949577930000004
186,0,0.31620411260000003
187,0,0.26578744590000003
188,0,0.26592380950000005
189,0,0.2301619048
190,0,0.2236619048
191,0,0.21880476190000003
192,0,0.21240476190000002
193,0,0.18490476190000005
194,0,0.17190476190000006
195,0,0.19190476190000005
196,0,0.17690476190000004
197,0,0.16707142860000007
198,0,0.17857142860000005
199,0,0.17400000000000004
200,0,0.17600000000000002
201,0,0.31400000000000006
202,0,0.31400000000000006
203,0,0.308
204,0,0.30300000000000005
205,0,0.28200000000000003
206,0,0.26175000000000004
207,0,0.26503571430000006
208,0,0.2540357143
209,0,0.24803571430000004
210,0,0.25470238100000003
211,0,0.12170238100000001
212,0,0.461702381
