,timestamp,eth
169,1/8/18 0:00,0.14
170,1/9/18 0:00,0.17
171,1/10/18 0:00,2.524
172,1/11/18 0:00,0.25375
173,1/12/18 0:00,0.1025
174,1/13/18 0:00,0.135
175,1/14/18 0:00,0.332916667
176,1/15/18 0:00,0.6925
177,1/16/18 0:00,0.143636364
178,1/17/18 0:00,0.573333333
179,1/18/18 0:00,0.145
180,1/19/18 0:00,0.148571429
181,1/20/18 0:00,0.154
182,1/22/18 0:00,0.425
183,1/23/18 0:00,0.28
184,1/24/18 0:00,0.1
185,1/25/18 0:00,0.5
186,1/26/18 0:00,0.188333333
187,1/28/18 0:00,0.145
188,1/29/18 0:00,0.215714286
189,2/1/18 0:00,0.08
190,2/2/18 0:00,0.1
191,2/3/18 0:00,0.09
192,2/4/18 0:00,0.15
193,2/5/18 0:00,0.15
194,2/7/18 0:00,0.3
195,2/8/18 0:00,0.35
196,2/9/18 0:00,0.09
197,2/10/18 0:00,0.26
198,2/11/18 0:00,0.17
199,2/16/18 0:00,0.1
200,2/17/18 0:00,1.48
201,2/18/18 0:00,0.09
202,2/20/18 0:00,0.09
203,2/21/18 0:00,0.1
204,2/22/18 0:00,0.09
205,2/23/18 0:00,0.1475
206,2/24/18 0:00,0.122857143
207,2/26/18 0:00,0.15
208,2/28/18 0:00,0.11
209,3/1/18 0:00,0.166666667
210,3/2/18 0:00,0.15
211,3/3/18 0:00,3.49
212,3/4/18 0:00,0.185
213,3/7/18 0:00,
214,3/8/18 0:00,0.55
215,3/9/18 0:00,0.1
216,3/12/18 0:00,0.2
217,3/13/18 0:00,0.09
218,3/14/18 0:00,0.11
219,3/16/18 0:00,0.26
220,3/17/18 0:00,0.09
221,3/18/18 0:00,0.1
222,3/19/18 0:00,0.25
223,3/20/18 0:00,0.136666667
224,3/21/18 0:00,0.225
225,3/22/18 0:00,0.115
226,3/23/18 0:00,0.27
227,3/24/18 0:00,0.11
228,3/25/18 0:00,0.23
229,3/26/18 0:00,
230,3/27/18 0:00,0.1
231,3/28/18 0:00,0.3
232,3/31/18 0:00,0.125
233,4/1/18 0:00,0.175
234,4/2/18 0:00,0.115
235,4/3/18 0:00,0.128
236,4/4/18 0:00,0.135384615
237,4/5/18 0:00,0.1
238,4/6/18 0:00,0.12
239,4/7/18 0:00,0.125
240,4/8/18 0:00,0.15
241,4/9/18 0:00,0.09
242,4/11/18 0:00,0.14
243,4/14/18 0:00,0.1
244,4/16/18 0:00,0.15
245,4/17/18 0:00,0.105
246,4/18/18 0:00,0.068
247,4/20/18 0:00,0.616666667
248,4/21/18 0:00,0.183333333
249,4/22/18 0:00,0.174
