,eth,eth_past_average10
0,0.1545,
1,0.194090909,
2,0.138461538,
3,0.135555556,
4,0.222222222,
5,0.287368421,
6,0.188571429,
7,0.286956522,
8,1.189166667,
9,0.329677419,
10,0.512884615,0.31265706829999995
11,0.839836066,0.3484955298
12,0.385,0.41307004550000004
13,1.147727273,0.4377238917
14,0.773414634,0.5389410634
15,0.437,0.5940603046
16,0.419411765,0.6090234625
17,0.837272727,0.6321074960999999
18,0.676818182,0.6871391166
19,0.470588235,0.6359042681
20,0.8340625,0.6499953497
21,0.322857143,0.6821131382000001
22,0.64,0.6304152459
23,0.68,0.6559152458999999
24,1.542,0.6091425186
25,0.445666667,0.6860010552
26,0.555483871,0.6868677219
27,0.500952381,0.7004749324999999
28,0.468095238,0.6668428979000001
29,0.348461538,0.6459706035
30,0.315,0.6337579338
31,0.334,0.5818516838
32,1.07,0.5829659695
33,0.314,0.6259659694999999
34,0.275,0.5893659695
35,0.39,0.46266596950000005
36,0.615,0.4570993028
37,0.46875,0.46305091570000007
38,0.525,0.4598306776
39,0.24,0.46552115380000003
40,2.4,0.45467500000000005
41,0.976666667,0.6631750000000001
42,0.205,0.7274416667000001
43,2.066666667,0.6409416667000001
44,0.28,0.8162083334
45,0.676,0.8167083333999999
46,0.3,0.8453083334
47,0.305,0.8138083333999999
48,0.26875,0.7974333334
49,0.198235294,0.7718083333999999
50,0.387142857,0.7676318628000001
51,0.566666667,0.5663461485
52,0.225,0.5253461484999999
53,0.35,0.5273461485
54,0.25,0.35567948180000003
55,0.3,0.35267948179999997
56,0.4,0.3150794818
57,0.55,0.32507948179999996
58,0.3075,0.34957948180000004
59,0.34,0.35345448179999994
60,0.245,0.3676309524
61,,0.35341666669999994
62,0.26,
63,0.3,
64,0.371111111,
65,0.25,
66,0.235,
67,0.27,
68,0.262,
69,1.07,
70,,
71,0.35,
72,,
73,0.25,
74,0.23,
75,0.235,
76,0.14,
77,0.29,
78,0.27,
79,0.22,
80,0.3875,
81,0.443333333,
82,0.2025,
83,0.27,0.26683333330000003
84,0.215,0.26883333330000003
85,0.16,0.2673333333
86,,0.2598333333
87,,
88,0.35,
89,0.12,
90,0.162857143,
91,0.054,
92,1.5,
93,,
94,,
95,0.2,
96,,
97,0.3,
98,0.09,
99,0.22,
100,0.13,
101,0.2625,
102,0.19,
103,0.176666667,
104,0.27,
105,0.09,
106,0.32,
107,0.26,0.20491666670000003
108,0.15,0.20091666670000002
109,0.13,0.20691666669999997
110,0.1,0.1979166667
111,0.1,0.19491666670000002
112,0.07,0.1786666667
113,0.236666667,0.1666666667
114,0.121666667,0.17266666670000003
115,0.095,0.1578333334
116,0.13,0.1583333334
117,0.096666667,0.13933333339999998
118,0.9,0.1230000001
119,0.23,0.19800000010000002
120,0.29,0.20800000010000003
121,0.1,0.22700000010000002
122,0.2,0.22700000010000002
123,0.205,0.2400000001
124,0.1,0.23683333339999998
125,0.1,0.2346666667
126,,0.23516666670000003
127,0.098888889,
128,0.16,
129,0.09,
